person,received_offer_counts,viewed_rates,completed_rates,pro_bogo-10-10-5,pro_bogo-10-10-7,pro_bogo-5-5-5,pro_bogo-5-5-7,pro_discount-2-10-10,pro_discount-2-10-7,pro_discount-3-7-7,pro_discount-5-20-10,pro_informational-0-0-3,time_spent,avg_sales_norm,avg_sales_pro,tnp_count,tp_count,trans_pro_ratio,trans_count,trans_per_hr,have_pi,gen_F,gen_M,gen_O,gen_UN,age_0-20,age_21-40,age_41-60,age_61-80,age_80+,inc_0-20k,inc_20-40k,inc_40-60k,inc_60-80k,inc_80-100k,inc_100-120k,mem_2013,mem_2014,mem_2015,mem_2016,mem_2017,mem_2018
0009655768c64bdeb2e877511632db8f,1,1.0,0.0,0,0,0,0,0,0,0,0,1,0,,22.16,,1.0,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0011e0d4e6b944f998e987f904e8c1e5,3,1.0,0.3333333333333333,0,0,0,0,0,0,1,0,1,120,13.49,11.93,1.0,1.0,0.5,2.0,0.016666666666666666,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0020c2b971eb4e9188eac86d93036a77,2,0.5,0.5,0,1,0,0,1,0,0,0,0,90,26.900000000000002,17.63,3.0,1.0,0.25,4.0,0.044444444444444446,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0020ccbbb6d84e358d3414a3ff76cffd,3,1.0,0.6666666666666666,0,0,1,0,0,0,1,0,1,420,12.8025,14.174999999999999,4.0,6.0,0.6,10.0,0.023809523809523808,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
003d66b6608740288d6cc97a6903f4f0,4,1.0,0.5,0,0,0,0,2,0,0,0,1,438,1.48,2.5766666666666667,1.0,12.0,0.9230769230769231,13.0,0.02968036529680365,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
00426fe3ffde4c6b9cb9ad6d077a13ea,2,1.0,0.5,0,0,0,0,1,0,0,0,1,312,2.282,6.1575,5.0,8.0,0.6153846153846154,13.0,0.041666666666666664,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
004b041fbfe44859945daa2c7f79ee64,1,0.0,0.0,0,0,0,0,0,0,0,0,0,372,22.6275,,4.0,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
004c5799adbf42868b9cff0396190900,3,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,228,27.294,33.015,5.0,2.0,0.2857142857142857,7.0,0.03070175438596491,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
005500a7188546ff8a767329a2f7c76a,2,1.0,0.0,0,2,0,0,0,0,0,0,0,60,,4.855,,2.0,,,,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0056df74b63b4298809f0b375a304cf4,2,0.5,1.0,0,0,0,1,0,0,0,1,0,282,27.59,27.86,1.0,1.0,0.5,2.0,0.0070921985815602835,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0063def0f9c14bc4805322a488839b32,2,1.0,0.0,0,1,0,0,0,0,1,0,0,360,2.76,2.225,1.0,2.0,0.6666666666666666,3.0,0.008333333333333333,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
00715b6e55c3431cb56ff7307eb19675,1,0.0,1.0,1,0,0,0,0,0,0,0,0,360,25.608333333333334,,12.0,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0082fd87c18f45f2be70dbcbb0fb8aad,2,1.0,0.0,0,0,0,0,0,0,0,0,1,252,19.63,20.045,1.0,2.0,0.6666666666666666,3.0,0.011904761904761904,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
00840a2ca5d2408e982d56544dc14ffd,2,0.5,0.5,0,0,0,0,1,0,0,0,0,282,2.9771428571428573,4.09,7.0,2.0,0.2222222222222222,9.0,0.031914893617021274,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
00857b24b13f4fe0ad17b605f00357f5,2,1.0,0.0,1,0,1,0,0,0,0,0,0,36,,0.805,,2.0,,,,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
008d7088107b468893889da0ede0df5c,3,0.6666666666666666,0.0,0,0,1,0,0,1,0,0,1,342,1.7866666666666668,2.705,3.0,4.0,0.5714285714285714,7.0,0.02046783625730994,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0091d2b6a5ea4defaa8393e4e816db60,3,1.0,1.0,1,0,1,0,0,0,0,1,0,468,20.465,24.203333333333333,8.0,3.0,0.2727272727272727,11.0,0.023504273504273504,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0092a132ead946ceb30d11a1ed513d20,3,1.0,0.0,0,0,1,1,0,0,1,0,0,180,,0.61,,2.0,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0099bf30e4cb4265875266eb3eb25eab,3,0.6666666666666666,0.6666666666666666,1,0,0,0,1,0,0,1,0,294,26.959999999999997,3.6060000000000003,3.0,5.0,0.625,8.0,0.027210884353741496,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
009d10c2c38a4fd795a7bc6ddbbddb78,2,1.0,0.0,0,0,0,0,0,0,1,1,0,450,2.12,1.6149999999999998,4.0,2.0,0.3333333333333333,6.0,0.013333333333333334,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
00a794f62b9a48beb58f8f6c02c2f1a6,3,1.0,0.0,0,0,0,0,0,0,0,0,0,408,6.03,16.16,1.0,7.0,0.875,8.0,0.0196078431372549,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
00ad4c2cace94f67a6354ec90d6c6f45,3,1.0,0.0,0,0,0,1,0,0,1,0,1,324,,2.828333333333333,,6.0,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
00ae03011f9f49b8a4b3e6d416678b0b,3,1.0,0.3333333333333333,0,0,0,0,0,1,1,0,1,96,27.355,15.54,4.0,1.0,0.2,5.0,0.052083333333333336,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
00aee28bbb3848dd8a31f0c91dc267dd,1,1.0,0.0,0,0,1,0,0,0,0,0,0,408,4.31,,3.0,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
00b18b535d6d4f779dea4dc9ac451478,2,1.0,1.0,0,0,0,0,0,0,2,0,0,156,29.134999999999998,25.505000000000003,2.0,2.0,0.5,4.0,0.02564102564102564,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
00b3400e4ff64ee68ce9ada1d0c222f0,2,0.0,0.5,0,1,0,0,0,0,0,0,0,204,14.546666666666667,,3.0,,,,,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
00b3c376db2a4115af3aef34a02f61d6,1,1.0,1.0,0,1,0,0,0,0,0,0,0,96,26.46,19.44,1.0,1.0,0.5,2.0,0.020833333333333332,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
00b901d68f8f4fd68075184cd0f772d2,1,1.0,0.0,0,0,0,0,1,0,0,0,0,24,13.883333333333335,,3.0,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
00bbce6533f44ddeaf4dd32bcab55441,2,1.0,0.5,0,0,0,0,0,1,0,0,1,396,11.526666666666666,15.285,3.0,2.0,0.4,5.0,0.012626262626262626,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
00bc42a62f884b41a13cc595856cf7c3,2,1.0,1.0,0,1,0,0,0,1,0,0,0,372,23.99,18.435000000000002,1.0,2.0,0.6666666666666666,3.0,0.008064516129032258,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
00bc983061d3471e8c8e74d31b7c8b6f,2,1.0,0.5,0,1,0,0,0,0,1,0,0,114,24.695,14.11,2.0,1.0,0.3333333333333333,3.0,0.02631578947368421,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
00c20a9202d5475190b31a24de6fb06d,1,1.0,1.0,0,0,1,0,0,0,0,0,0,318,24.94333333333333,22.58,3.0,1.0,0.25,4.0,0.012578616352201259,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
